Win Rate,Drafts,Packs,Starting Gems,Format
0.57,47,66,15000,Quick
0.57,20,59,15000,Competetive
0.57,22,66,15000,Sealed
0.57,47,64,15000,Quick
0.57,25,84,15000,Competetive
0.57,21,63,15000,Sealed
0.57,42,61,15000,Quick
0.57,33,118,15000,Competetive
0.57,15,45,15000,Sealed
0.57,68,96,15000,Quick
0.57,30,104,15000,Competetive
0.57,26,78,15000,Sealed
0.57,45,60,15000,Quick
0.57,36,133,15000,Competetive
0.57,16,48,15000,Sealed
0.57,43,58,15000,Quick
0.57,31,110,15000,Competetive
0.57,19,57,15000,Sealed
0.57,39,56,15000,Quick
0.57,29,104,15000,Competetive
0.57,24,72,15000,Sealed
0.57,46,62,15000,Quick
0.57,35,130,15000,Competetive
0.57,26,78,15000,Sealed
0.57,42,59,15000,Quick
0.57,29,100,15000,Competetive
0.57,18,54,15000,Sealed
0.57,58,83,15000,Quick
0.57,22,69,15000,Competetive
0.57,21,63,15000,Sealed
0.57,41,58,15000,Quick
0.57,40,149,15000,Competetive
0.57,29,87,15000,Sealed
0.57,55,80,15000,Quick
0.57,24,77,15000,Competetive
0.57,18,54,15000,Sealed
0.57,60,88,15000,Quick
0.57,23,79,15000,Competetive
0.57,18,54,15000,Sealed
0.57,69,102,15000,Quick
0.57,21,65,15000,Competetive
0.57,31,93,15000,Sealed
0.57,49,66,15000,Quick
0.57,26,85,15000,Competetive
0.57,15,45,15000,Sealed
0.57,41,55,15000,Quick
0.57,25,85,15000,Competetive
0.57,29,87,15000,Sealed
0.57,46,62,15000,Quick
0.57,32,113,15000,Competetive
0.57,15,45,15000,Sealed
0.57,53,74,15000,Quick
0.57,22,73,15000,Competetive
0.57,17,51,15000,Sealed
0.57,50,69,15000,Quick
0.57,22,70,15000,Competetive
0.57,34,102,15000,Sealed
0.57,54,78,15000,Quick
0.57,36,131,15000,Competetive
0.57,14,42,15000,Sealed
0.57,43,56,15000,Quick
0.57,68,281,15000,Competetive
0.57,13,39,15000,Sealed
0.57,44,59,15000,Quick
0.57,26,88,15000,Competetive
0.57,21,63,15000,Sealed
0.57,51,74,15000,Quick
0.57,21,64,15000,Competetive
0.57,19,57,15000,Sealed
0.57,48,64,15000,Quick
0.57,55,219,15000,Competetive
0.57,22,66,15000,Sealed
0.57,37,49,15000,Quick
0.57,24,81,15000,Competetive
0.57,23,69,15000,Sealed
0.57,40,52,15000,Quick
0.57,16,47,15000,Competetive
0.57,14,42,15000,Sealed
0.57,47,60,15000,Quick
0.57,17,46,15000,Competetive
0.57,13,39,15000,Sealed
0.57,55,78,15000,Quick
0.57,35,129,15000,Competetive
0.57,16,48,15000,Sealed
0.57,46,63,15000,Quick
0.57,39,147,15000,Competetive
0.57,19,57,15000,Sealed
0.57,46,64,15000,Quick
0.57,17,48,15000,Competetive
0.57,21,63,15000,Sealed
0.57,75,111,15000,Quick
0.57,34,118,15000,Competetive
0.57,20,60,15000,Sealed
0.57,44,66,15000,Quick
0.57,19,55,15000,Competetive
0.57,18,54,15000,Sealed
0.57,53,79,15000,Quick
0.57,31,112,15000,Competetive
0.57,24,72,15000,Sealed
0.57,50,65,15000,Quick
0.57,36,136,15000,Competetive
0.57,29,87,15000,Sealed
0.57,35,49,15000,Quick
0.57,22,69,15000,Competetive
0.57,20,60,15000,Sealed
0.57,55,75,15000,Quick
0.57,35,126,15000,Competetive
0.57,18,54,15000,Sealed
0.57,44,61,15000,Quick
0.57,22,69,15000,Competetive
0.57,26,78,15000,Sealed
0.57,62,89,15000,Quick
0.57,28,100,15000,Competetive
0.57,15,45,15000,Sealed
0.57,51,77,15000,Quick
0.57,31,108,15000,Competetive
0.57,30,90,15000,Sealed
0.57,56,77,15000,Quick
0.57,18,52,15000,Competetive
0.57,16,48,15000,Sealed
0.57,44,62,15000,Quick
0.57,46,176,15000,Competetive
0.57,18,54,15000,Sealed
0.57,37,51,15000,Quick
0.57,24,81,15000,Competetive
0.57,13,39,15000,Sealed
0.57,49,68,15000,Quick
0.57,34,126,15000,Competetive
0.57,20,60,15000,Sealed
0.57,43,57,15000,Quick
0.57,18,50,15000,Competetive
0.57,23,69,15000,Sealed
0.57,53,73,15000,Quick
0.57,33,117,15000,Competetive
0.57,17,51,15000,Sealed
0.57,43,55,15000,Quick
0.57,42,160,15000,Competetive
0.57,23,69,15000,Sealed
0.57,58,82,15000,Quick
0.57,14,34,15000,Competetive
0.57,19,57,15000,Sealed
0.57,54,79,15000,Quick
0.57,27,88,15000,Competetive
0.57,20,60,15000,Sealed
0.57,50,69,15000,Quick
0.57,19,56,15000,Competetive
0.57,20,60,15000,Sealed
0.57,51,75,15000,Quick
0.57,20,61,15000,Competetive
0.57,21,63,15000,Sealed
0.57,62,91,15000,Quick
0.57,28,95,15000,Competetive
0.57,18,54,15000,Sealed
0.57,52,78,15000,Quick
0.57,50,195,15000,Competetive
0.57,25,75,15000,Sealed
0.57,40,50,15000,Quick
0.57,51,198,15000,Competetive
0.57,28,84,15000,Sealed
0.57,47,65,15000,Quick
0.57,34,125,15000,Competetive
0.57,20,60,15000,Sealed
0.57,48,65,15000,Quick
0.57,37,141,15000,Competetive
0.57,15,45,15000,Sealed
0.57,42,62,15000,Quick
0.57,38,146,15000,Competetive
0.57,18,54,15000,Sealed
0.57,55,81,15000,Quick
0.57,17,47,15000,Competetive
0.57,17,51,15000,Sealed
0.57,54,72,15000,Quick
0.57,26,87,15000,Competetive
0.57,27,81,15000,Sealed
0.57,62,89,15000,Quick
0.57,17,49,15000,Competetive
0.57,17,51,15000,Sealed
0.57,54,75,15000,Quick
0.57,41,155,15000,Competetive
0.57,15,45,15000,Sealed
0.57,45,60,15000,Quick
0.57,22,68,15000,Competetive
0.57,39,117,15000,Sealed
0.57,38,51,15000,Quick
0.57,23,77,15000,Competetive
0.57,13,39,15000,Sealed
0.57,47,67,15000,Quick
0.57,55,217,15000,Competetive
0.57,16,48,15000,Sealed
0.57,42,59,15000,Quick
0.57,21,67,15000,Competetive
0.57,23,69,15000,Sealed
0.57,51,72,15000,Quick
0.57,23,73,15000,Competetive
0.57,23,69,15000,Sealed
0.57,42,60,15000,Quick
0.57,40,156,15000,Competetive
